CUBE_ID,TABLE_ID
FINREP_REF_F_45.01_REF_FINREP 3.0,FINREP_REF_F_45.01_REF_FINREP 3.0
FINREP_REF_F_07.02_REF_FINREP 3.0,FINREP_REF_F_07.02_REF_FINREP 3.0
FINREP_REF_F_40.02_REF_FINREP 3.0,FINREP_REF_F_40.02_REF_FINREP 3.0
FINREP_REF_F_45.02_REF_FINREP 3.0,FINREP_REF_F_45.02_REF_FINREP 3.0
FINREP_REF_F_31.02_REF_FINREP 3.0,FINREP_REF_F_31.02_REF_FINREP 3.0
FINREP_REF_F_01.03_REF_FINREP 3.0,FINREP_REF_F_01.03_REF_FINREP 3.0
FINREP_REF_F_07.01_REF_FINREP 3.0,FINREP_REF_F_07.01_REF_FINREP 3.0
FINREP_REF_F_40.01_REF_FINREP 3.0,FINREP_REF_F_40.01_REF_FINREP 3.0
FINREP_REF_F_20.03_REF_FINREP 3.0,FINREP_REF_F_20.03_REF_FINREP 3.0
FINREP_REF_F_43.00_REF_FINREP 3.0,FINREP_REF_F_43.00_REF_FINREP 3.0
FINREP_REF_F_18.00.d_REF_FINREP 3.0,FINREP_REF_F_18.00.d_REF_FINREP 3.0
FINREP_REF_F_25.01.a_REF_FINREP 3.0,FINREP_REF_F_25.01.a_REF_FINREP 3.0
FINREP_REF_F_19.00.e_REF_FINREP 3.0,FINREP_REF_F_19.00.e_REF_FINREP 3.0
FINREP_REF_F_25.01.b_REF_FINREP 3.0,FINREP_REF_F_25.01.b_REF_FINREP 3.0
FINREP_REF_F_18.00.b_REF_FINREP 3.0,FINREP_REF_F_18.00.b_REF_FINREP 3.0
FINREP_REF_F_12.01.a_REF_FINREP 3.0,FINREP_REF_F_12.01.a_REF_FINREP 3.0
FINREP_REF_F_16.07.a_REF_FINREP 3.0,FINREP_REF_F_16.07.a_REF_FINREP 3.0
FINREP_REF_F_20.07.1_REF_FINREP 3.0,FINREP_REF_F_20.07.1_REF_FINREP 3.0
FINREP_REF_F_18.00.a_REF_FINREP 3.0,FINREP_REF_F_18.00.a_REF_FINREP 3.0
FINREP_REF_F_04.03.1_REF_FINREP 3.0,FINREP_REF_F_04.03.1_REF_FINREP 3.0
FINREP_REF_F_25.01.d_REF_FINREP 3.0,FINREP_REF_F_25.01.d_REF_FINREP 3.0
