CELL_ID,AXIS_ORDINATE_ID
2739983_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
3152622_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_020
2740086_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_090
2786706_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
2739709_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_2_030
2740234_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_090
2786757_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
3152428_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
2740252_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
2740039_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_160
3152560_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_070
2740293_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_260
2740965_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_050
3151934_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
2760039_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_174
2740314_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_200
2739856_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739962_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
3153094_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_010
3153089_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
2739990_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
2760085_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
3153217_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_050
3152605_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_040
2786706_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_097
2739778_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_010
2740336_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_040
3152519_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_080
3152287_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_040
3152823_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_180
3151820_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_2_170
3152290_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_080
3153292_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
2740960_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
2741216_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_230
3151833_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_2_010
3153059_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_011
3153230_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
3153318_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
3151422_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_010
2760168_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
2741249_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_290
2740011_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_150
2741287_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_140
2739958_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_030
2739741_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_010
2740265_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_250
3151439_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_160
2740009_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_130
2760066_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_070
2740156_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_240
3153073_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_2_190
3153260_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_150
2760137_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_090
2786794_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_130
2741201_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_090
2741161_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_220
2741241_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_210
2740365_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_180
3153287_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
3170537_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_290
3152634_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_140
2739720_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_2_061
2741039_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_040
3152292_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_040
3152573_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_100
2739977_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_020
3152378_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_010
3151963_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_030
2786739_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
2740343_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_220
2786768_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
3170535_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_141
3152827_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_030
3151419_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_150
2760090_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_010
3173411_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
3153203_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_100
3152523_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_090
2740247_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_010
2740285_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_190
2760155_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_050
3152770_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
2739769_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2740044_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_200
3151886_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_170
3152796_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_015
2741030_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
2741053_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_3_999
2740004_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_080
3170276_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
3152441_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_060
2739943_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_1_010
3152396_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_2_190
3152832_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_270
3153122_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_022
3153239_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_016
3151895_REF,FINREP_REF_F_16_01_REF_FINREP 2_9_2_260
2741293_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_199
2739705_REF,FINREP_REF_F_08_02_REF_FINREP 2_8_1_020
3153311_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
2760047_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
2740327_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_070
2760161_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
2760077_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_3_010
2740273_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_020
3152623_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
3152821_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_090
2760149_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_050
2740387_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_130
3152683_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_110
2739961_REF,FINREP_REF_F_20_03_REF_FINREP 2_8_2_060
3152907_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_039
3170257_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_020
3152427_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_006
2739775_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
3170367_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_009
2786774_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
2741193_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_270
2786725_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
2740399_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_3_240
2739807_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
2740355_REF,FINREP_REF_F_07_02_REF_FINREP 2_8_2_050
3153080_REF,FINREP_REF_F_06_01_REF_FINREP 2_9_1_012
2739999_REF,FINREP_REF_F_03_00_REF_FINREP 2_8_1_010
2786720_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_174
3153244_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_2_180
2786730_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_009
3151842_REF,FINREP_REF_F_13_01_REF_FINREP 2_9_1_020
3151928_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_1_010
2786761_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_009
2759984_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_080
3173418_REF,FINREP_REF_F_22_01_REF_FINREP 2_9_1_010
2760008_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_2_237
2739796_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_190
2739864_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_021
3153291_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_2_285
3152696_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_110
3151961_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_120
3170215_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_2_385
2739760_REF,FINREP_REF_F_20_02_REF_FINREP 2_8_1_020
2740026_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_3_290
3152432_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_006
3152912_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_039
2739868_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_060
3152471_REF,FINREP_REF_F_04_09_REF_FINREP 2_9_2_007
3152636_REF,FINREP_REF_F_04_10_REF_FINREP 2_9_1_050
2741177_REF,FINREP_REF_F_07_01_REF_FINREP 2_8_2_009
2760136_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_040
2760174_REF,FINREP_REF_F_05_01_REF_FINREP 2_8_2_060
2760052_REF,FINREP_REF_F_20_01_REF_FINREP 2_8_1_020
3153304_REF,FINREP_REF_F_02_00_REF_FINREP 2_9_1_010
3153175_REF,FINREP_REF_F_04_08_REF_FINREP 2_9_1_035
